timestep, heading, speed, pos_X, pos_Z,goal_X,goal_z,npc1_x,npc1_z,npc2_x,npc2_z,pacesetter_x,pacesetter_z,thruAperture, crtl_pad_X, ctrl_pad_Y, ctrl_Trigger, ctrl_Pad_Click, ctrl_Pad_Touch, ctrl_Grip_Click,head_6DOF_fwd_X,head_6DOF_fwd_Y,head_6DOF_fwd_Z,head_6DOF_up_X,head_6DOF_up_Y,head_6DOF_up_Z,head_6DOF_pos_X,head_6DOF_pos_Y,head_6DOF_pos_Z,ctrl_6DOF_fwd_X,ctrl_6DOF_fwd_Y,ctrl_6DOF_fwd_Z,ctrl_6DOF_up_X,ctrl_6DOF_up_Y,ctrl_6DOF_up_Z,ctrl_6DOF_pos_X,ctrl_6DOF_pos_Y,ctrl_6DOF_pos_Z,chest_6DOF_fwd_X,chest_6DOF_fwd_Y,chest_6DOF_fwd_Z,chest_6DOF_up_X,chest_6DOF_up_Y,chest_6DOF_up_Z,chest_6DOF_pos_X,chest_6DOF_pos_Y,chest_6DOF_pos_Zchair_6DOF_fwd_X,chair_6DOF_fwd_Y,chair_6DOF_fwd_Z,chair_6DOF_up_X,chair_6DOF_up_Y,chair_6DOF_up_Z,chair_6DOF_pos_X,chair_6DOF_pos_Y,chair_6DOF_pos_Z
0,30.47279,5,-247.3213,611.022,-218.1337,630.3373,-235.494,628.4421,-227.5478,622.371,,,False,0,0,0,FALSE,FALSE,FALSE,0.8772383,-0.1211309,0.4645215,0.1396515,0.9901853,-0.00552319,-0.1567304,1.561692,0.4794901,0,0,1,0,1,0,0,0,0,-0.810311,-0.09202867,-0.5787289,-0.02487459,0.992103,-0.1229346,-0.3916512,1.347002,0.3188247,-0.8270656,0.1627173,-0.5380386,0.1344598,0.9866665,0.09170473,-0.383467,0.9969329,0.3212904
0.0217081,54.46535,5,-247.233,611.0851,-218.1337,630.3373,-235.5114,628.3676,-227.6151,622.3346,,,False,0,0,0,FALSE,FALSE,FALSE,0.8815112,-0.1215566,0.4562479,0.1381372,0.9904085,-0.003022023,-0.1560383,1.560669,0.477412,0,0,1,0,1,0,0,0,0,-0.8114505,-0.09330104,-0.5769258,-0.02957013,0.9924644,-0.1189118,-0.3910781,1.346486,0.3167418,-0.8249314,0.1653088,-0.5405195,0.1373621,0.9862405,0.09198537,-0.3812199,0.9965108,0.3189985
0.0327773,54.58791,5,-247.1879,611.1171,-218.1337,630.3373,-235.5202,628.3297,-227.6495,622.316,,,False,0,0,0,FALSE,FALSE,FALSE,0.883119,-0.122697,0.4528205,0.1380466,0.9904253,-0.0008596852,-0.1557332,1.560136,0.4765211,0,0,1,0,1,0,0,0,0,-0.8117899,-0.09455192,-0.576244,-0.03231114,0.9925655,-0.1173446,-0.3908321,1.345673,0.3166098,-0.8230075,0.1672751,-0.5428425,0.1389466,0.9859095,0.09314686,-0.3802994,0.9964955,0.3177696
0.0438527,54.6312,5,-247.1427,611.1492,-218.1337,630.3373,-235.5291,628.2916,-227.6838,622.2975,,,False,0,0,0,FALSE,FALSE,FALSE,0.8843014,-0.1238564,0.4501898,0.1377168,0.9904697,0.001983371,-0.155472,1.559663,0.4756172,0,0,1,0,1,0,0,0,0,-0.8123708,-0.09594852,-0.5751935,-0.03466656,0.9925725,-0.1166108,-0.3906511,1.345633,0.315336,-0.8220093,0.169731,-0.5435921,0.1408282,0.9854895,0.09475128,-0.3793897,0.9964327,0.3168997
0.0549387,54.69986,5,-247.0975,611.1812,-218.1337,630.3373,-235.538,628.2536,-227.7182,622.2789,,,False,0,0,0,FALSE,FALSE,FALSE,0.885157,-0.1248232,0.4482369,0.137233,0.990527,0.004836764,-0.155256,1.559305,0.4748792,0,0,1,0,1,0,0,0,0,-0.812774,-0.09764065,-0.5743384,-0.03728709,0.9925523,-0.1159725,-0.3903818,1.345255,0.3143875,-0.8203872,0.1731087,-0.5449754,0.1430187,0.9849005,0.09755321,-0.3788902,0.9967359,0.3158321
0.0800081,54.75345,5,-246.9951,611.2535,-218.1337,630.3373,-235.5581,628.1675,-227.7959,622.2369,,,False,0,0,0,FALSE,FALSE,FALSE,0.885847,-0.1262083,0.4464825,0.1366531,0.9905791,0.008881822,-0.1549488,1.55918,0.4735463,0,0,1,0,1,0,0,0,0,-0.8131971,-0.1011573,-0.5731298,-0.04166323,0.9923705,-0.1160384,-0.3898417,1.344862,0.313348,-0.8170958,0.1792102,-0.5479403,0.1471492,0.9838063,0.1023344,-0.3782887,0.9977713,0.313808
0.09783059,54.82436,5,-246.9222,611.3049,-218.1337,630.3373,-235.5724,628.1064,-227.8512,622.207,,,False,0,0,0,FALSE,FALSE,FALSE,0.8856015,-0.126586,0.4468623,0.1364629,0.990593,0.01016743,-0.1547743,1.559644,0.4730294,0,0,1,0,1,0,0,0,0,-0.8135226,-0.102049,-0.5725096,-0.04284398,0.9923247,-0.1160002,-0.3895447,1.345401,0.3123795,-0.814723,0.182059,-0.550528,0.1492729,0.9832837,0.1042627,-0.378254,0.9985707,0.3125232
0.1087203,54.86436,5,-246.8777,611.3362,-218.1337,630.3373,-235.5812,628.069,-227.885,622.1888,,,False,0,0,0,FALSE,FALSE,FALSE,0.8851464,-0.1263495,0.4478298,0.1356981,0.9906858,0.0112988,-0.1546244,1.560353,0.4725429,0,0,1,0,1,0,0,0,0,-0.8135934,-0.1019555,-0.5724256,-0.04306103,0.9923679,-0.1155491,-0.3889421,1.345712,0.3127664,-0.8119794,0.1836221,-0.5540509,0.150655,0.9829953,0.104992,-0.3782099,0.9994031,0.3111946
0.120609,54.87066,5,-246.8291,611.3704,-218.1337,630.3373,-235.5907,628.0282,-227.9218,622.1688,,,False,0,0,0,FALSE,FALSE,FALSE,0.8844608,-0.1251847,0.4495085,0.1341297,0.9908906,0.01203956,-0.1544851,1.561268,0.4720493,0,0,1,0,1,0,0,0,0,-0.8138455,-0.1018806,-0.5720803,-0.0432962,0.9924051,-0.1151419,-0.3888916,1.346341,0.3112273,-0.8091636,0.1851276,-0.5576578,0.1517738,0.9827138,0.1060105,-0.377958,1.000082,0.3100664
0.1341973,54.89529,5,-246.7735,611.4094,-218.1337,630.3373,-235.6016,627.9816,-227.964,622.1461,,,False,0,0,0,FALSE,FALSE,FALSE,0.8824764,-0.1221308,0.4542241,0.1297685,0.9914389,0.01445894,-0.1542719,1.563272,0.4710691,0,0,1,0,1,0,0,0,0,-0.8135055,-0.09828209,-0.5731922,-0.0394581,0.992673,-0.1142071,-0.3881868,1.34806,0.3099117,-0.8036036,0.1883712,-0.5645684,0.15309,0.9820963,0.109774,-0.3779609,1.00216,0.3067756
