timestep, heading, speed, pos_X, pos_Z,goal_X,goal_z,npc1_x,npc1_z,npc2_x,npc2_z,pacesetter_x,pacesetter_z,thruAperture, crtl_pad_X, ctrl_pad_Y, ctrl_Trigger, ctrl_Pad_Click, ctrl_Pad_Touch, ctrl_Grip_Click,head_6DOF_fwd_X,head_6DOF_fwd_Y,head_6DOF_fwd_Z,head_6DOF_up_X,head_6DOF_up_Y,head_6DOF_up_Z,head_6DOF_pos_X,head_6DOF_pos_Y,head_6DOF_pos_Z,ctrl_6DOF_fwd_X,ctrl_6DOF_fwd_Y,ctrl_6DOF_fwd_Z,ctrl_6DOF_up_X,ctrl_6DOF_up_Y,ctrl_6DOF_up_Z,ctrl_6DOF_pos_X,ctrl_6DOF_pos_Y,ctrl_6DOF_pos_Z,chest_6DOF_fwd_X,chest_6DOF_fwd_Y,chest_6DOF_fwd_Z,chest_6DOF_up_X,chest_6DOF_up_Y,chest_6DOF_up_Z,chest_6DOF_pos_X,chest_6DOF_pos_Y,chest_6DOF_pos_Zchair_6DOF_fwd_X,chair_6DOF_fwd_Y,chair_6DOF_fwd_Z,chair_6DOF_up_X,chair_6DOF_up_Y,chair_6DOF_up_Z,chair_6DOF_pos_X,chair_6DOF_pos_Y,chair_6DOF_pos_Z
0,162.3206,5,526.1693,-813.3906,544.3987,-843.2686,539.0905,-832.1902,529.2804,-834.1298,,,False,0,0,0,FALSE,FALSE,FALSE,0.506309,0.01279758,-0.8622571,-0.07061902,0.9971468,-0.0266672,0.3392192,1.482699,-0.1809337,0,0,1,0,1,0,0,0,0,-0.5582054,-0.1762892,0.8107582,-0.1679563,0.9809454,0.09765665,0.2022192,1.183758,-0.001518607,-0.561314,-0.3880092,0.7310098,-0.2474738,0.9215638,0.2991269,0.2202938,0.9539102,-0.005409777
0.0205808,145.4527,5,526.2277,-813.4754,544.3987,-843.2686,539.0485,-832.131,529.2968,-834.0591,,,False,0,0,0,FALSE,FALSE,FALSE,0.5092012,0.01346706,-0.8605423,-0.0680241,0.9973793,-0.02464281,0.3388088,1.482814,-0.1810435,0,0,1,0,1,0,0,0,0,-0.5595964,-0.1763508,0.8097854,-0.1677894,0.9809715,0.09768116,0.2010204,1.183918,-0.002284348,-0.5627234,-0.3884984,0.7296653,-0.248003,0.9213642,0.2993035,0.2190757,0.954033,-0.006385267
0.0303685,145.3539,5,526.2555,-813.5157,544.3987,-843.2686,539.0285,-832.103,529.3046,-834.0255,,,False,0,0,0,FALSE,FALSE,FALSE,0.5111881,0.01405784,-0.8593541,-0.06649905,0.9975158,-0.02323909,0.3383458,1.482943,-0.1812742,0,0,1,0,1,0,0,0,0,-0.5607563,-0.1764934,0.8089515,-0.1678592,0.9809613,0.09766363,0.2000756,1.18413,-0.002968371,-0.5633759,-0.3890944,0.7288437,-0.2486638,0.9211132,0.2995276,0.2182657,0.9540879,-0.007054865
0.0414148,145.2707,5,526.287,-813.5611,544.3987,-843.2686,539.0059,-832.0712,529.3134,-833.9876,,,False,0,0,0,FALSE,FALSE,FALSE,0.5129058,0.01473206,-0.8583187,-0.06532957,0.997623,-0.02191596,0.337869,1.48311,-0.1814576,0,0,1,0,1,0,0,0,0,-0.5618427,-0.1767835,0.8081339,-0.1677493,0.9809503,0.09796292,0.1991387,1.184187,-0.003679693,-0.5642846,-0.3896412,0.727848,-0.2493435,0.9208834,0.299669,0.2173205,0.9541522,-0.007842898
0.0511268,145.1916,5,526.3147,-813.601,544.3987,-843.2686,538.9861,-832.0433,529.321,-833.9543,,,False,0,0,0,FALSE,FALSE,FALSE,0.5147119,0.01589614,-0.857216,-0.06445245,0.9977164,-0.02019865,0.3374257,1.483341,-0.1816987,0,0,1,0,1,0,0,0,0,-0.5629479,-0.1770712,0.8073014,-0.1675684,0.9809465,0.0983092,0.1980107,1.184218,-0.004446924,-0.565194,-0.3892615,0.7273453,-0.2496395,0.9210409,0.2989378,0.2162475,0.9542887,-0.008562088
0.0605508,145.1111,5,526.3417,-813.6396,544.3987,-843.2686,538.9669,-832.0162,529.3286,-833.9219,,,False,0,0,0,FALSE,FALSE,FALSE,0.5160581,0.01688152,-0.8563874,-0.06405124,0.9977671,-0.01892875,0.3368883,1.483621,-0.182037,0,0,1,0,1,0,0,0,0,-0.5639704,-0.1773211,0.8065324,-0.1675861,0.9809266,0.09847759,0.1971189,1.184196,-0.005057275,-0.5659503,-0.3896168,0.7265666,-0.2499302,0.920895,0.2991441,0.2152434,0.954303,-0.009284556
0.0705949,145.0367,5,526.3705,-813.6807,544.3987,-843.2686,538.9464,-831.9874,529.3365,-833.8874,,,False,0,0,0,FALSE,FALSE,FALSE,0.5171824,0.0178683,-0.8556887,-0.06357265,0.9978222,-0.01758731,0.3363305,1.483807,-0.1823637,0,0,1,0,1,0,0,0,0,-0.5650318,-0.1772228,0.8058109,-0.1672033,0.980989,0.09850751,0.196144,1.184308,-0.005826235,-0.5666861,-0.3893522,0.7261348,-0.2500939,0.9210061,0.298665,0.214202,0.9544324,-0.0100593
0.0945657,144.962,5,526.4393,-813.7789,544.3987,-843.2686,538.8974,-831.9185,529.3557,-833.8051,,,False,0,0,0,FALSE,FALSE,FALSE,0.5182247,0.01875974,-0.855039,-0.06312367,0.9978715,-0.01636468,0.3357571,1.483878,-0.1827436,0,0,1,0,1,0,0,0,0,-0.5654688,-0.1769974,0.8055539,-0.1665481,0.9810856,0.09865484,0.1951668,1.184385,-0.006519735,-0.5673608,-0.3888705,0.725866,-0.2497223,0.9212142,0.2983339,0.2131273,0.9546142,-0.01064384
0.1106648,144.9326,5,526.4855,-813.8447,544.3987,-843.2686,538.8645,-831.8723,529.3684,-833.7498,,,False,0,0,0,FALSE,FALSE,FALSE,0.5198845,0.0208862,-0.8539811,-0.06284842,0.997927,-0.01385396,0.3345004,1.484196,-0.1835288,0,0,1,0,1,0,0,0,0,-0.5659899,-0.1758973,0.8054287,-0.1649473,0.9813804,0.09841179,0.1935194,1.184543,-0.007542729,-0.5681095,-0.3896772,0.7248471,-0.2496317,0.9208876,0.2994159,0.2111421,0.9547486,-0.01177937
0.1205294,144.9036,5,526.5139,-813.8851,544.3987,-843.2686,538.8444,-831.8439,529.3763,-833.7159,,,False,0,0,0,FALSE,FALSE,FALSE,0.52026,0.02168429,-0.8537327,-0.06324451,0.9979109,-0.01319453,0.3338305,1.484372,-0.1839884,0,0,1,0,1,0,0,0,0,-0.5666385,-0.1751392,0.8051379,-0.1640052,0.98157,0.09809466,0.1925463,1.184688,-0.008031309,-0.5680993,-0.3899193,0.7247249,-0.2492197,0.9207931,0.3000496,0.210116,0.9549252,-0.01227826
0.1305102,144.863,5,526.5427,-813.9259,544.3987,-843.2686,538.824,-831.8152,529.3842,-833.6817,,,False,0,0,0,FALSE,FALSE,FALSE,0.5208372,0.02225354,-0.8533659,-0.0632804,0.9979163,-0.01259908,0.3332143,1.484421,-0.1844484,0,0,1,0,1,0,0,0,0,-0.5667969,-0.1745814,0.8051475,-0.1632586,0.9817102,0.09793714,0.1917095,1.18467,-0.008548617,-0.5682753,-0.3901011,0.7244891,-0.2491159,0.9207199,0.3003598,0.2091793,0.9548935,-0.01281261
0.1400112,144.8557,5,526.57,-813.9647,544.3987,-843.2686,538.8046,-831.788,529.3918,-833.649,,,False,0,0,0,FALSE,FALSE,FALSE,0.5207542,0.02258214,-0.8534079,-0.0630733,0.9979358,-0.01208116,0.3325719,1.484412,-0.1848443,0,0,1,0,1,0,0,0,0,-0.5672808,-0.174072,0.8049171,-0.1625351,0.9818454,0.09778495,0.1907976,1.184715,-0.009186208,-0.5679985,-0.3905563,0.7244608,-0.249125,0.9205295,0.3009354,0.2081262,0.9549131,-0.013201
0.1501357,144.825,5,526.5992,-814.0061,544.3987,-843.2686,538.7839,-831.7589,529.3998,-833.6143,,,False,0,0,0,FALSE,FALSE,FALSE,0.5206728,0.02237275,-0.8534632,-0.06241424,0.9979792,-0.01191599,0.3321947,1.48438,-0.1852692,0,0,1,0,1,0,0,0,0,-0.568128,-0.1734791,0.8044474,-0.1618973,0.9819863,0.09742798,0.1899821,1.184784,-0.009792626,-0.5678877,-0.3905998,0.7245243,-0.2491726,0.9205103,0.3009549,0.2071514,0.9549122,-0.01390821
0.1617458,144.769,5,526.6327,-814.0535,544.3987,-843.2686,538.7601,-831.7255,529.4091,-833.5744,,,False,0,0,0,FALSE,FALSE,FALSE,0.5207751,0.02226336,-0.8534038,-0.06184836,0.9980169,-0.01170592,0.3315636,1.484262,-0.1857823,0,0,1,0,1,0,0,0,0,-0.568464,-0.1730866,0.8042946,-0.1611817,0.9821037,0.09743071,0.1891469,1.18476,-0.01032394,-0.5677623,-0.3910127,0.7243998,-0.2491571,0.9203382,0.3014936,0.206118,0.9548883,-0.01448554
0.1711877,144.7479,5,526.6599,-814.0921,544.3987,-843.2686,538.7408,-831.6984,529.4166,-833.542,,,False,0,0,0,FALSE,FALSE,FALSE,0.520456,0.021589,-0.8536158,-0.06078275,0.9980811,-0.01181699,0.3309375,1.484137,-0.1863176,0,0,1,0,1,0,0,0,0,-0.5685432,-0.1729182,0.8042748,-0.1606067,0.9821777,0.097634,0.1882868,1.184722,-0.01093048,-0.5680794,-0.3910603,0.7241255,-0.2492306,0.9203191,0.3014913,0.2053474,0.9548718,-0.01553196
0.1811663,144.7434,5,526.6887,-814.1329,544.3987,-843.2686,538.7205,-831.6697,529.4245,-833.5078,,,False,0,0,0,FALSE,FALSE,FALSE,0.5201218,0.02090512,-0.8538362,-0.05975117,0.9981416,-0.01195969,0.330294,1.484023,-0.1868104,0,0,1,0,1,0,0,0,0,-0.5689577,-0.1724964,0.8040722,-0.1598209,0.9823049,0.09764388,0.1873217,1.184845,-0.01132274,-0.5684701,-0.3911591,0.7237654,-0.2493331,0.9202786,0.3015299,0.2042242,0.9549621,-0.01584452
0.1921487,144.7169,5,526.7205,-814.1777,544.3987,-843.2686,538.6981,-831.6382,529.4332,-833.47,,,False,0,0,0,FALSE,FALSE,FALSE,0.519769,0.02004741,-0.8540717,-0.05860124,0.9982065,-0.01223276,0.32978,1.483811,-0.1873149,0,0,1,0,1,0,0,0,0,-0.5691381,-0.1724582,0.8039528,-0.1594041,0.9823491,0.09788039,0.1866491,1.184587,-0.01163465,-0.5683372,-0.3913252,0.7237799,-0.2497359,0.920204,0.3014243,0.2034702,0.9546326,-0.01620525
0.2031499,144.7044,5,526.7523,-814.2226,544.3987,-843.2686,538.6756,-831.6066,529.442,-833.4323,,,False,0,0,0,FALSE,FALSE,FALSE,0.519659,0.01937137,-0.8541541,-0.05790158,0.9982429,-0.01258759,0.3291221,1.483749,-0.187848,0,0,1,0,1,0,0,0,0,-0.5696405,-0.1722353,0.8036447,-0.1586939,0.9824452,0.09806984,0.1858391,1.184581,-0.01232654,-0.5683255,-0.391427,0.7237341,-0.2500152,0.9201581,0.3013326,0.2025662,0.9545596,-0.01680106
0.2137457,144.6702,5,526.7829,-814.2658,544.3987,-843.2686,538.6539,-831.5762,529.4504,-833.3959,,,False,0,0,0,FALSE,FALSE,FALSE,0.5188617,0.01902969,-0.8546466,-0.05740454,0.9982712,-0.01262302,0.328766,1.483674,-0.1883593,0,0,1,0,1,0,0,0,0,-0.5703921,-0.1716739,0.8032316,-0.1578522,0.9825962,0.09791516,0.1852116,1.184749,-0.01271325,-0.5682512,-0.3914747,0.7237666,-0.2503496,0.9201337,0.3011297,0.2017776,0.954801,-0.01714915
0.2259331,144.6206,5,526.8182,-814.3155,544.3987,-843.2686,538.6291,-831.5411,529.4601,-833.354,,,False,0,0,0,FALSE,FALSE,FALSE,0.5187305,0.01851688,-0.8547374,-0.05650291,0.9983221,-0.0126635,0.3281087,1.483674,-0.1889857,0,0,1,0,1,0,0,0,0,-0.569783,-0.1718881,0.803618,-0.1574776,0.9825963,0.09851515,0.1843231,1.184861,-0.01331526,-0.56813,-0.3913864,0.7239096,-0.250243,0.9201711,0.3011038,0.2007857,0.9549073,-0.01773131
0.2360964,144.6625,5,526.8476,-814.3569,544.3987,-843.2686,538.6083,-831.512,529.4682,-833.3191,,,False,0,0,0,FALSE,FALSE,FALSE,0.5182366,0.01815796,-0.8550446,-0.0556758,0.9983701,-0.01254305,0.3275043,1.483606,-0.1894086,0,0,1,0,1,0,0,0,0,-0.5701376,-0.1714318,0.8034639,-0.1569694,0.9827003,0.09828928,0.1834803,1.184934,-0.01381356,-0.5680606,-0.3917029,0.7237928,-0.2507024,0.9200331,0.3011435,0.1998757,0.9549346,-0.01822215
0.2474683,144.6405,5,526.8805,-814.4033,544.3987,-843.2686,538.5851,-831.4793,529.4772,-833.2801,,,False,0,0,0,FALSE,FALSE,FALSE,0.5182465,0.01748276,-0.8550525,-0.05479945,0.9984154,-0.01279988,0.3268783,1.483524,-0.1899519,0,0,1,0,1,0,0,0,0,-0.5703092,-0.1707124,0.8034953,-0.1562583,0.9828516,0.09790896,0.1825952,1.185047,-0.01427561,-0.5680295,-0.3918844,0.723719,-0.2511438,0.9199514,0.301025,0.1989812,0.9549991,-0.01868278
0.2581617,144.6334,5,526.9114,-814.4469,544.3987,-843.2686,538.5632,-831.4485,529.4858,-833.2433,,,False,0,0,0,FALSE,FALSE,FALSE,0.5179375,0.01701711,-0.8552492,-0.05425085,0.9984429,-0.01298796,0.3263072,1.483436,-0.1904925,0,0,1,0,1,0,0,0,0,-0.5704232,-0.169955,0.803575,-0.1555588,0.9830052,0.09747981,0.1817759,1.18512,-0.01472741,-0.5678161,-0.3926249,0.723485,-0.2516233,0.9196353,0.3015901,0.1981755,0.9550642,-0.01909918
0.2696761,144.6307,5,526.9448,-814.4938,544.3987,-843.2686,538.5397,-831.4155,529.4949,-833.2038,,,False,0,0,0,FALSE,FALSE,FALSE,0.5179932,0.01626184,-0.8552302,-0.05333039,0.9984881,-0.01331517,0.3257219,1.483357,-0.1910092,0,0,1,0,1,0,0,0,0,-0.5706854,-0.1693986,0.8035063,-0.1551813,0.9831077,0.09704632,0.1810271,1.185246,-0.01521909,-0.5675554,-0.3928446,0.7235704,-0.2520719,0.9195359,0.3015186,0.1973523,0.9551406,-0.01952624
0.2803061,144.616,5,526.9755,-814.5372,544.3987,-843.2686,538.518,-831.3849,529.5034,-833.1673,,,False,0,0,0,FALSE,FALSE,FALSE,0.5176982,0.01550807,-0.8554227,-0.05244886,0.9985304,-0.01363933,0.3251528,1.483255,-0.191538,0,0,1,0,1,0,0,0,0,-0.5704037,-0.1686291,0.8038681,-0.1545265,0.9832537,0.09661126,0.1802598,1.185334,-0.01566803,-0.5674064,-0.3931212,0.723537,-0.252274,0.9194168,0.3017128,0.1964865,0.9552423,-0.01993972
0.291443,144.6415,5,527.0078,-814.5826,544.3987,-843.2686,538.4952,-831.353,529.5122,-833.1291,,,False,0,0,0,FALSE,FALSE,FALSE,0.5177951,0.01465485,-0.8553793,-0.05160662,0.9985675,-0.01413151,0.3245646,1.483109,-0.1920385,0,0,1,0,1,0,0,0,0,-0.5702808,-0.1684486,0.8039931,-0.1540679,0.9833133,0.09673686,0.1797054,1.18521,-0.01595539,-0.5672889,-0.3933853,0.7234855,-0.2528406,0.9192976,0.3016017,0.1958143,0.9551942,-0.02024692
0.3023134,144.6515,5,527.0392,-814.6269,544.3987,-843.2686,538.4731,-831.3217,529.5209,-833.0917,,,False,0,0,0,FALSE,FALSE,FALSE,0.5176667,0.01387222,-0.8554701,-0.05063463,0.9986128,-0.01444689,0.3239297,1.482987,-0.1925458,0,0,1,0,1,0,0,0,0,-0.5700752,-0.1682807,0.8041741,-0.1537585,0.9833577,0.09677786,0.1790264,1.18532,-0.01631373,-0.5673841,-0.393523,0.723336,-0.2532622,0.9192343,0.3014408,0.1951173,0.9553321,-0.02052397
