timestep, heading, speed, pos_X, pos_Z,goal_X,goal_z,npc1_x,npc1_z,npc2_x,npc2_z,pacesetter_x,pacesetter_z,thruAperture, crtl_pad_X, ctrl_pad_Y, ctrl_Trigger, ctrl_Pad_Click, ctrl_Pad_Touch, ctrl_Grip_Click,head_6DOF_fwd_X,head_6DOF_fwd_Y,head_6DOF_fwd_Z,head_6DOF_up_X,head_6DOF_up_Y,head_6DOF_up_Z,head_6DOF_pos_X,head_6DOF_pos_Y,head_6DOF_pos_Z,ctrl_6DOF_fwd_X,ctrl_6DOF_fwd_Y,ctrl_6DOF_fwd_Z,ctrl_6DOF_up_X,ctrl_6DOF_up_Y,ctrl_6DOF_up_Z,ctrl_6DOF_pos_X,ctrl_6DOF_pos_Y,ctrl_6DOF_pos_Z,chest_6DOF_fwd_X,chest_6DOF_fwd_Y,chest_6DOF_fwd_Z,chest_6DOF_up_X,chest_6DOF_up_Y,chest_6DOF_up_Z,chest_6DOF_pos_X,chest_6DOF_pos_Y,chest_6DOF_pos_Zchair_6DOF_fwd_X,chair_6DOF_fwd_Y,chair_6DOF_fwd_Z,chair_6DOF_up_X,chair_6DOF_up_Y,chair_6DOF_up_Z,chair_6DOF_pos_X,chair_6DOF_pos_Y,chair_6DOF_pos_Z
0,69.91245,5,223.4983,-63.62106,258.4252,-65.88264,243.424,-56.86585,246.1179,-66.49615,,,False,0,0,0,FALSE,FALSE,FALSE,0.9965376,0.02414117,-0.07956135,-0.02592673,0.9994329,-0.02148631,0.09588147,1.720054,0.8659927,0,0,1,0,1,0,0,0,0,-0.9409357,-0.331556,0.06863427,-0.3369786,0.9367532,-0.09454516,-0.182035,1.333903,0.8929601,-0.889457,0.4551598,-0.04118049,0.4159793,0.843611,0.3395316,-0.1302315,1.068299,0.8961111
0.0222683,94.17192,5,223.6094,-63.62916,258.4252,-65.88264,243.3704,-56.91056,246.0489,-66.48573,,,False,0,0,0,FALSE,FALSE,FALSE,0.9965261,0.03054736,-0.07747757,-0.03228673,0.9992517,-0.02129735,0.09527379,1.720513,0.866217,0,0,1,0,1,0,0,0,0,-0.9411325,-0.3314136,0.06659406,-0.3366219,0.9368375,-0.09497998,-0.1820362,1.33394,0.8926926,-0.8892552,0.4555254,-0.04149544,0.4162742,0.8435425,0.3393404,-0.1304088,1.068272,0.8960418
0.0344088,94.04748,5,223.6699,-63.63345,258.4252,-65.88264,243.3412,-56.93494,246.0113,-66.48003,,,False,0,0,0,FALSE,FALSE,FALSE,0.9964719,0.03606546,-0.07578385,-0.03777392,0.9990607,-0.02123233,0.09487669,1.720926,0.8664403,0,0,1,0,1,0,0,0,0,-0.9413761,-0.3311448,0.06445211,-0.3361372,0.936934,-0.09574162,-0.1820517,1.333981,0.8924049,-0.889127,0.4557791,-0.04145646,0.4165897,0.8435137,0.3390246,-0.1306126,1.068246,0.8960386
0.0461369,93.91669,5,223.7284,-63.63745,258.4252,-65.88264,243.313,-56.95849,245.975,-66.47454,,,False,0,0,0,FALSE,FALSE,FALSE,0.9964314,0.03993484,-0.07436359,-0.04159091,0.998917,-0.02085559,0.09449309,1.721339,0.8666483,0,0,1,0,1,0,0,0,0,-0.9417153,-0.3305389,0.062581,-0.3353438,0.9371477,-0.0964293,-0.1822199,1.334412,0.8917127,-0.8891069,0.4557925,-0.04173863,0.4165329,0.8435645,0.3389682,-0.1308242,1.068238,0.8962758
0.0571002,93.80196,5,223.7831,-63.64109,258.4252,-65.88264,243.2866,-56.9805,245.941,-66.46941,,,False,0,0,0,FALSE,FALSE,FALSE,0.9963312,0.04412646,-0.07332933,-0.04573062,0.9987467,-0.02034228,0.09404434,1.721565,0.8669269,0,0,1,0,1,0,0,0,0,-0.9420001,-0.3300638,0.06077719,-0.3346788,0.9373478,-0.09679475,-0.1822674,1.334478,0.8915213,-0.88942,0.4552375,-0.04112184,0.4162456,0.8438306,0.3386585,-0.1310691,1.068197,0.8964116
0.0696256,93.69157,5,223.8456,-63.64512,258.4252,-65.88264,243.2565,-57.00565,245.9022,-66.46354,,,False,0,0,0,FALSE,FALSE,FALSE,0.9962587,0.04742792,-0.07224512,-0.04896726,0.9986064,-0.01968617,0.09366634,1.721796,0.8670447,0,0,1,0,1,0,0,0,0,-0.9422795,-0.3294967,0.05950791,-0.3339857,0.9375399,-0.09732604,-0.1823881,1.334595,0.8913444,-0.889555,0.4549874,-0.04096985,0.4161431,0.8440635,0.3382037,-0.1313007,1.068141,0.89657
0.081401,93.61361,5,223.9044,-63.64883,258.4252,-65.88264,243.2282,-57.0293,245.8657,-66.45802,,,False,0,0,0,FALSE,FALSE,FALSE,0.9961757,0.05009025,-0.07158983,-0.05155158,0.998495,-0.01871164,0.09339102,1.722043,0.8672234,0,0,1,0,1,0,0,0,0,-0.9425079,-0.3291295,0.05790299,-0.333454,0.9376714,-0.09788129,-0.1826073,1.334781,0.8908868,-0.8896981,0.4547325,-0.04069066,0.4160386,0.8442298,0.3379169,-0.1315274,1.067947,0.8971928
0.0933128,93.51555,5,223.9639,-63.65248,258.4252,-65.88264,243.1995,-57.05321,245.8288,-66.45244,,,False,0,0,0,FALSE,FALSE,FALSE,0.9961085,0.05187261,-0.07125533,-0.05324601,0.9984279,-0.01751067,0.0930648,1.722053,0.8674539,0,0,1,0,1,0,0,0,0,-0.9428757,-0.3283173,0.0565083,-0.3325003,0.9379609,-0.09835117,-0.1827322,1.334877,0.8908091,-0.889703,0.4547611,-0.0402621,0.4162783,0.844292,0.3374663,-0.1317801,1.067822,0.8974004
0.1219344,93.42974,5,224.1067,-63.66104,258.4252,-65.88264,243.1307,-57.11068,245.7402,-66.43903,,,False,0,0,0,FALSE,FALSE,FALSE,0.996128,0.05278471,-0.07030594,-0.05387396,0.9984539,-0.01368676,0.09247418,1.721908,0.8678447,0,0,1,0,1,0,0,0,0,-0.9434955,-0.3267605,0.05517328,-0.3308088,0.9385274,-0.09865052,-0.1833627,1.33527,0.890061,-0.8908924,0.4524383,-0.04013085,0.4142674,0.8455936,0.336681,-0.1323942,1.067286,0.8980247
0.1422509,93.34671,5,224.2081,-63.66697,258.4252,-65.88264,243.0818,-57.15147,245.6772,-66.42951,,,False,0,0,0,FALSE,FALSE,FALSE,0.9962619,0.04949659,-0.07079756,-0.05037555,0.9986732,-0.010683,0.09259519,1.721741,0.8681297,0,0,1,0,1,0,0,0,0,-0.9438738,-0.3258169,0.05427355,-0.329773,0.9388756,-0.09880521,-0.1834396,1.33546,0.8898482,-0.8912629,0.4516231,-0.04107463,0.4132237,0.8461038,0.3366816,-0.1326289,1.067144,0.8979381
