timestep, heading, speed, pos_X, pos_Z,goal_X,goal_z,npc1_x,npc1_z,npc2_x,npc2_z,pacesetter_x,pacesetter_z,thruAperture, crtl_pad_X, ctrl_pad_Y, ctrl_Trigger, ctrl_Pad_Click, ctrl_Pad_Touch, ctrl_Grip_Click,head_6DOF_fwd_X,head_6DOF_fwd_Y,head_6DOF_fwd_Z,head_6DOF_up_X,head_6DOF_up_Y,head_6DOF_up_Z,head_6DOF_pos_X,head_6DOF_pos_Y,head_6DOF_pos_Z,ctrl_6DOF_fwd_X,ctrl_6DOF_fwd_Y,ctrl_6DOF_fwd_Z,ctrl_6DOF_up_X,ctrl_6DOF_up_Y,ctrl_6DOF_up_Z,ctrl_6DOF_pos_X,ctrl_6DOF_pos_Y,ctrl_6DOF_pos_Z,chest_6DOF_fwd_X,chest_6DOF_fwd_Y,chest_6DOF_fwd_Z,chest_6DOF_up_X,chest_6DOF_up_Y,chest_6DOF_up_Z,chest_6DOF_pos_X,chest_6DOF_pos_Y,chest_6DOF_pos_Zchair_6DOF_fwd_X,chair_6DOF_fwd_Y,chair_6DOF_fwd_Z,chair_6DOF_up_X,chair_6DOF_up_Y,chair_6DOF_up_Z,chair_6DOF_pos_X,chair_6DOF_pos_Y,chair_6DOF_pos_Z
0,255.668,5,-33.275,-4.211881,-58.7917,-28.16858,-49.43911,-20.34265,-52.89188,-10.95764,,,False,0,0,0,FALSE,FALSE,FALSE,-0.7420641,-0.03722902,-0.6692945,-0.06034877,0.9981124,0.01139096,-0.06169876,1.593309,-0.1450754,0,0,1,0,1,0,0,0,0,0.881906,-0.1305685,0.4529831,0.09040475,0.9898871,0.1093188,0.1845586,1.271032,0.02227551,0.7493979,0.4364104,0.4979446,-0.3658637,0.8997394,-0.2379344,0.1406726,0.9986849,0.008742869
0.0185148,242.8131,5,-33.35735,-4.254178,-58.7917,-28.16858,-49.40286,-20.30712,-52.84126,-10.96121,,,False,0,0,0,FALSE,FALSE,FALSE,-0.7422898,-0.03715094,-0.6690484,-0.05975613,0.9981538,0.01087219,-0.06303833,1.59358,-0.1434185,0,0,1,0,1,0,0,0,0,0.8806659,-0.1309706,0.4552739,0.09069361,0.9898602,0.1093228,0.1826989,1.271192,0.02457458,0.7471876,0.4354879,0.5020568,-0.3654846,0.9001712,-0.2368818,0.139017,0.9989496,0.01098424
0.0284825,242.6626,5,-33.40162,-4.277065,-58.7917,-28.16858,-49.38335,-20.288,-52.814,-10.96313,,,False,0,0,0,FALSE,FALSE,FALSE,-0.7421647,-0.03685265,-0.6692036,-0.05858061,0.9982327,0.009995371,-0.06437148,1.593897,-0.1419183,0,0,1,0,1,0,0,0,0,0.879312,-0.1312104,0.4578146,0.0908718,0.9898617,0.109161,0.1808607,1.271539,0.02694649,0.7445534,0.4353533,0.5060709,-0.3658539,0.9002115,-0.2361572,0.1373615,0.9993475,0.01316398
0.0388579,242.4962,5,-33.44763,-4.301022,-58.7917,-28.16858,-49.36303,-20.26809,-52.78562,-10.96513,,,False,0,0,0,FALSE,FALSE,FALSE,-0.7419314,-0.03644411,-0.6694847,-0.05738149,0.9983095,0.009246858,-0.06563186,1.594202,-0.1403245,0,0,1,0,1,0,0,0,0,0.8780976,-0.131334,0.4601044,0.09079365,0.9898567,0.1092712,0.1789621,1.27173,0.02920663,0.7418289,0.4367648,0.5088481,-0.3672663,0.8995044,-0.2366584,0.1359491,0.9996865,0.01550716
0.0485507,242.3464,5,-33.49056,-4.323515,-58.7917,-28.16858,-49.34405,-20.24949,-52.75911,-10.96699,,,False,0,0,0,FALSE,FALSE,FALSE,-0.7413707,-0.03588038,-0.6701359,-0.05588268,0.9984023,0.008366563,-0.06699449,1.594464,-0.1388309,0,0,1,0,1,0,0,0,0,0.8770391,-0.1301068,0.4624656,0.08947914,0.9900245,0.1088344,0.1769387,1.271908,0.03095287,0.7393032,0.4389971,0.5105999,-0.3685479,0.8984132,-0.2388017,0.1346108,0.9999231,0.01787239
0.0588527,242.1972,5,-33.53612,-4.347541,-58.7917,-28.16858,-49.32389,-20.22972,-52.73095,-10.96898,,,False,0,0,0,FALSE,FALSE,FALSE,-0.7408034,-0.03527719,-0.6707951,-0.05430673,0.9984964,0.007463473,-0.06826101,1.594602,-0.137404,0,0,1,0,1,0,0,0,0,0.8755531,-0.1299602,0.4653139,0.0890011,0.9900442,0.1090471,0.1750382,1.271916,0.03307396,0.7369401,0.4406703,0.512571,-0.3690336,0.8975958,-0.2411141,0.1329681,0.9999509,0.01994592
0.0705873,242.0115,5,-33.58793,-4.375076,-58.7917,-28.16858,-49.30091,-20.2072,-52.69885,-10.97124,,,False,0,0,0,FALSE,FALSE,FALSE,-0.7399402,-0.03494291,-0.6717645,-0.05283178,0.9985839,0.006250593,-0.06945425,1.594768,-0.1359809,0,0,1,0,1,0,0,0,0,0.8743023,-0.1289544,0.4679382,0.08784909,0.9901813,0.1087357,0.1732916,1.272143,0.03525126,0.7351369,0.4412224,0.5146811,-0.3684627,0.89733,-0.2429691,0.1316208,1.000031,0.02228737
0.0940739,241.8437,5,-33.69147,-4.43049,-58.7917,-28.16858,-49.25493,-20.16213,-52.63462,-10.97576,,,False,0,0,0,FALSE,FALSE,FALSE,-0.7377508,-0.03341403,-0.6742458,-0.04910349,0.9987847,0.004230971,-0.07191712,1.594764,-0.1333909,0,0,1,0,1,0,0,0,0,0.8717508,-0.1258609,0.4735079,0.08435121,0.9905656,0.108003,0.1698981,1.272401,0.03920162,0.7322848,0.4396577,0.5200578,-0.3641588,0.8981217,-0.2465074,0.1289733,0.9998962,0.02678192
0.1100329,241.4906,5,-33.76159,-4.468577,-58.7917,-28.16858,-49.22368,-20.1315,-52.59098,-10.97884,,,False,0,0,0,FALSE,FALSE,FALSE,-0.7363151,-0.03291016,-0.675838,-0.04736664,0.9988732,0.002964753,-0.0730771,1.594651,-0.1321118,0,0,1,0,1,0,0,0,0,0.8703849,-0.1240075,0.4765002,0.08233109,0.9907942,0.1074631,0.1683112,1.272483,0.04135841,0.7306075,0.4380496,0.5237607,-0.3608842,0.8989193,-0.2484084,0.1277614,0.9997724,0.02913994
0.1196548,241.3011,5,-33.80378,-4.491679,-58.7917,-28.16858,-49.20485,-20.11304,-52.56467,-10.98069,,,False,0,0,0,FALSE,FALSE,FALSE,-0.7347922,-0.03273844,-0.6775018,-0.04567188,0.9989557,0.001262128,-0.07428423,1.594434,-0.1308522,0,0,1,0,1,0,0,0,0,0.8689903,-0.1220478,0.4795417,0.07999368,0.9910075,0.1072619,0.1667442,1.27239,0.04339546,0.7281075,0.4376485,0.5275636,-0.3589745,0.8991187,-0.2504455,0.1264431,0.9997149,0.0315333
