timestep, heading, speed, pos_X, pos_Z,goal_X,goal_z,npc1_x,npc1_z,npc2_x,npc2_z,pacesetter_x,pacesetter_z,thruAperture, crtl_pad_X, ctrl_pad_Y, ctrl_Trigger, ctrl_Pad_Click, ctrl_Pad_Touch, ctrl_Grip_Click,head_6DOF_fwd_X,head_6DOF_fwd_Y,head_6DOF_fwd_Z,head_6DOF_up_X,head_6DOF_up_Y,head_6DOF_up_Z,head_6DOF_pos_X,head_6DOF_pos_Y,head_6DOF_pos_Z,ctrl_6DOF_fwd_X,ctrl_6DOF_fwd_Y,ctrl_6DOF_fwd_Z,ctrl_6DOF_up_X,ctrl_6DOF_up_Y,ctrl_6DOF_up_Z,ctrl_6DOF_pos_X,ctrl_6DOF_pos_Y,ctrl_6DOF_pos_Z,chest_6DOF_fwd_X,chest_6DOF_fwd_Y,chest_6DOF_fwd_Z,chest_6DOF_up_X,chest_6DOF_up_Y,chest_6DOF_up_Z,chest_6DOF_pos_X,chest_6DOF_pos_Y,chest_6DOF_pos_Zchair_6DOF_fwd_X,chair_6DOF_fwd_Y,chair_6DOF_fwd_Z,chair_6DOF_up_X,chair_6DOF_up_Y,chair_6DOF_up_Z,chair_6DOF_pos_X,chair_6DOF_pos_Y,chair_6DOF_pos_Z
0,145.4758,5,-245.9523,-267.7252,-238.7454,-301.9751,-233.1978,-283.3645,-240.7168,-289.9572,,,False,0,0,0,FALSE,FALSE,FALSE,0.1927729,-0.0009544943,-0.9812429,-0.07139304,0.9973356,-0.01499588,0.1810207,1.595584,-0.3903314,0,0,1,0,1,0,0,0,0,-0.1729483,-0.006977644,0.9849062,-0.05837267,0.9982898,-0.003177706,0.1377742,1.256371,-0.1204341,-0.244122,0.4541279,0.8568386,0.1019228,0.8906932,-0.4430321,0.1430627,1.001874,-0.1637195
0.0234745,170.0405,5,-245.932,-267.8408,-238.7454,-301.9751,-233.2814,-283.3264,-240.7437,-289.8693,,,False,0,0,0,FALSE,FALSE,FALSE,0.1931373,-0.0003018701,-0.9811718,-0.07116948,0.9973615,-0.0143161,0.1810798,1.595642,-0.389899,0,0,1,0,1,0,0,0,0,-0.1727329,-0.006968801,0.984944,-0.05864419,0.9982737,-0.00322151,0.1377254,1.256377,-0.1201469,-0.245659,0.4536301,0.856663,0.1024409,0.8909444,-0.442407,0.1428682,1.001837,-0.1636152
0.0351405,170.053,5,-245.9219,-267.8982,-238.7454,-301.9751,-233.323,-283.3074,-240.7571,-289.8257,,,False,0,0,0,FALSE,FALSE,FALSE,0.1935492,-1.750654E-05,-0.9810905,-0.07075012,0.9973962,-0.01397536,0.1810586,1.595736,-0.3895668,0,0,1,0,1,0,0,0,0,-0.172549,-0.00732905,0.9849737,-0.058447,0.9982865,-0.002810713,0.137636,1.256425,-0.1199413,-0.2460853,0.4536761,0.8565162,0.102842,0.8909246,-0.4423539,0.14268,1.001822,-0.1634151
0.0468035,170.0637,5,-245.9119,-267.9557,-238.7454,-301.9751,-233.3645,-283.2885,-240.7705,-289.782,,,False,0,0,0,FALSE,FALSE,FALSE,0.1928521,0.001240477,-0.9812272,-0.07029662,0.9974471,-0.01255524,0.181151,1.595799,-0.3888556,0,0,1,0,1,0,0,0,0,-0.1721037,-0.007745625,0.9850484,-0.05725782,0.9983571,-0.002153581,0.1376171,1.256381,-0.1195575,-0.2469423,0.4548125,0.8556665,0.1038914,0.8903498,-0.443265,0.1424485,1.001833,-0.1631886
0.0587092,170.0896,5,-245.9016,-268.0143,-238.7454,-301.9751,-233.4069,-283.2691,-240.7841,-289.7374,,,False,0,0,0,FALSE,FALSE,FALSE,0.1923927,0.001348705,-0.9813172,-0.06975958,0.9974879,-0.01230582,0.1811634,1.595817,-0.3885045,0,0,1,0,1,0,0,0,0,-0.1718895,-0.008157976,0.9850824,-0.05681463,0.9983834,-0.001645597,0.1376416,1.25623,-0.1192506,-0.2470221,0.4553601,0.8553521,0.1041717,0.890071,-0.4437589,0.1423202,1.001749,-0.1629947
0.0714899,170.102,5,-245.8906,-268.0773,-238.7454,-301.9751,-233.4525,-283.2483,-240.7988,-289.6895,,,False,0,0,0,FALSE,FALSE,FALSE,0.1915223,0.001851282,-0.9814864,-0.06955834,0.9975094,-0.01169175,0.1810841,1.595834,-0.388348,0,0,1,0,1,0,0,0,0,-0.1715143,-0.00853356,0.9851447,-0.05656532,0.9983982,-0.00119969,0.1376368,1.256189,-0.1190782,-0.2475544,0.4551241,0.8553239,0.1043397,0.8901911,-0.4434785,0.1422215,1.001753,-0.1627929
0.0995767,170.1238,5,-245.8665,-268.2156,-238.7454,-301.9751,-233.5525,-283.2026,-240.8309,-289.5844,,,False,0,0,0,FALSE,FALSE,FALSE,0.1900006,0.002568652,-0.9817808,-0.06867209,0.9975821,-0.01067987,0.1809094,1.595902,-0.3875761,0,0,1,0,1,0,0,0,0,-0.171138,-0.008989697,0.9852061,-0.05553784,0.9984564,-0.0005367552,0.1375542,1.256116,-0.1185274,-0.2477376,0.4547668,0.8554608,0.1041712,0.8903706,-0.4431575,0.141943,1.001681,-0.1624598
0.1185555,170.1456,5,-245.8503,-268.3091,-238.7454,-301.9751,-233.6202,-283.1718,-240.8527,-289.5133,,,False,0,0,0,FALSE,FALSE,FALSE,0.1879839,0.003599757,-0.9821656,-0.06783,0.9976533,-0.009325961,0.1809709,1.595983,-0.3867741,0,0,1,0,1,0,0,0,0,-0.1698882,-0.008650357,0.9854254,-0.05468557,0.9985034,-0.0006626798,0.1376229,1.256052,-0.1181324,-0.2468728,0.4544067,0.8559021,0.1036814,0.8905562,-0.4428994,0.1417978,1.001677,-0.1621229
0.1298015,170.2183,5,-245.8408,-268.3646,-238.7454,-301.9751,-233.6602,-283.1535,-240.8656,-289.4712,,,False,0,0,0,FALSE,FALSE,FALSE,0.1868962,0.003760896,-0.9823724,-0.06758751,0.9976724,-0.009039041,0.1809728,1.595908,-0.3863668,0,0,1,0,1,0,0,0,0,-0.1693541,-0.009173742,0.9855126,-0.05438108,0.9985203,-5.021924E-05,0.1377003,1.255946,-0.1178111,-0.2460264,0.454746,0.8559656,0.1036972,0.8903902,-0.4432294,0.1417211,1.001536,-0.1618683
0.1402556,170.2493,5,-245.8319,-268.4161,-238.7454,-301.9751,-233.6975,-283.1365,-240.8776,-289.432,,,False,0,0,0,FALSE,FALSE,FALSE,0.1857443,0.00378981,-0.9825909,-0.06736092,0.9976891,-0.008885543,0.1809004,1.595899,-0.3861232,0,0,1,0,1,0,0,0,0,-0.168851,-0.009341751,0.9855973,-0.05410215,0.9985354,0.0001956876,0.137709,1.255889,-0.1176636,-0.2454673,0.4549854,0.8559989,0.1036851,0.890272,-0.4434695,0.1416745,1.00157,-0.1616551
