timestep, heading, speed, pos_X, pos_Z,goal_X,goal_z,npc1_x,npc1_z,npc2_x,npc2_z,pacesetter_x,pacesetter_z,thruAperture, crtl_pad_X, ctrl_pad_Y, ctrl_Trigger, ctrl_Pad_Click, ctrl_Pad_Touch, ctrl_Grip_Click,head_6DOF_fwd_X,head_6DOF_fwd_Y,head_6DOF_fwd_Z,head_6DOF_up_X,head_6DOF_up_Y,head_6DOF_up_Z,head_6DOF_pos_X,head_6DOF_pos_Y,head_6DOF_pos_Z,ctrl_6DOF_fwd_X,ctrl_6DOF_fwd_Y,ctrl_6DOF_fwd_Z,ctrl_6DOF_up_X,ctrl_6DOF_up_Y,ctrl_6DOF_up_Z,ctrl_6DOF_pos_X,ctrl_6DOF_pos_Y,ctrl_6DOF_pos_Z,chest_6DOF_fwd_X,chest_6DOF_fwd_Y,chest_6DOF_fwd_Z,chest_6DOF_up_X,chest_6DOF_up_Y,chest_6DOF_up_Z,chest_6DOF_pos_X,chest_6DOF_pos_Y,chest_6DOF_pos_Zchair_6DOF_fwd_X,chair_6DOF_fwd_Y,chair_6DOF_fwd_Z,chair_6DOF_up_X,chair_6DOF_up_Y,chair_6DOF_up_Z,chair_6DOF_pos_X,chair_6DOF_pos_Y,chair_6DOF_pos_Z
0,286.5901,5,-340.2743,-687.5601,-370.1193,-669.2769,-361.1162,-683.9814,-358.7714,-674.2602,,,False,0,0,0,FALSE,FALSE,FALSE,-0.867776,0.1225209,0.4816156,0.1162944,0.9922881,-0.04289434,0.1835432,1.500686,0.6939263,0,0,1,0,1,0,0,0,0,0.8399228,-0.04671351,-0.5406921,0.09364072,0.9938204,0.05960164,0.3976691,1.242023,0.5957465,0.8643591,0.1640555,-0.4753621,-0.1637108,0.9855939,0.04246698,0.3779044,0.9799222,0.6023185
0.0207027,302.771,5,-340.3613,-687.5041,-370.1193,-669.2769,-361.0206,-683.9634,-358.6945,-674.3198,,,False,0,0,0,FALSE,FALSE,FALSE,-0.8700817,0.1218501,0.4776092,0.1159009,0.9923708,-0.04203695,0.1826918,1.50077,0.6936975,0,0,1,0,1,0,0,0,0,0.8434893,-0.04539211,-0.5352244,0.09166001,0.9939718,0.06015375,0.3977819,1.242379,0.596582,0.8667356,0.1633057,-0.4712754,-0.1631441,0.9857278,0.04153011,0.3780376,0.9798273,0.6028361
0.0312994,302.3966,5,-340.4061,-687.4757,-370.1193,-669.2769,-360.9717,-683.9542,-358.6551,-674.3503,,,False,0,0,0,FALSE,FALSE,FALSE,-0.8710021,0.1214402,0.4760332,0.1156381,0.9924203,-0.04159106,0.1822159,1.500729,0.693703,0,0,1,0,1,0,0,0,0,0.8451791,-0.04424407,-0.532649,0.09033521,0.9940557,0.06076865,0.397773,1.242537,0.5970438,0.8675553,0.1626082,-0.4700069,-0.1626645,0.9858368,0.04081793,0.3781607,0.9797378,0.6028813
0.0417669,302.22,5,-340.4503,-687.4478,-370.1193,-669.2769,-360.9233,-683.9451,-358.6162,-674.3805,,,False,0,0,0,FALSE,FALSE,FALSE,-0.8719837,0.1205779,0.4744528,0.1150952,0.9925199,-0.04070954,0.1818051,1.500663,0.6937137,0,0,1,0,1,0,0,0,0,0.8467726,-0.04351983,-0.5301718,0.08917224,0.9941578,0.06081618,0.3978167,1.242735,0.5974036,0.8684287,0.1619585,-0.4686164,-0.1623092,0.9859305,0.03995989,0.3781319,0.9796844,0.6030729
0.05239969,302.051,5,-340.4954,-687.4196,-370.1193,-669.2769,-360.8742,-683.9358,-358.5768,-674.4111,,,False,0,0,0,FALSE,FALSE,FALSE,-0.8725834,0.1197603,0.4735565,0.1146064,0.9926113,-0.03985121,0.1813953,1.500597,0.6936183,0,0,1,0,1,0,0,0,0,0.8482273,-0.04226732,-0.5279431,0.08753581,0.9942896,0.06103747,0.3979213,1.242899,0.597684,0.8690337,0.1617411,-0.4675686,-0.1620785,0.9859739,0.03982492,0.3779634,0.9793755,0.6035864
0.0629418,301.8984,5,-340.5402,-687.3918,-370.1193,-669.2769,-360.8256,-683.9266,-358.5376,-674.4415,,,False,0,0,0,FALSE,FALSE,FALSE,-0.8730964,0.1186182,0.4728979,0.1137751,0.9927426,-0.03895281,0.1808724,1.50059,0.6935515,0,0,1,0,1,0,0,0,0,0.849738,-0.04130026,-0.5255852,0.08627025,0.9943817,0.06133906,0.397827,1.243042,0.598083,0.8697658,0.1605995,-0.4666001,-0.1610951,0.9861625,0.03913893,0.3781598,0.9792597,0.6035416
0.0742567,301.7379,5,-340.5883,-687.362,-370.1193,-669.2769,-360.7733,-683.9168,-358.4956,-674.4741,,,False,0,0,0,FALSE,FALSE,FALSE,-0.873513,0.1178691,0.4723154,0.1134333,0.9928195,-0.0379775,0.1805386,1.500544,0.6936886,0,0,1,0,1,0,0,0,0,0.8506747,-0.04089374,-0.5240995,0.08539243,0.9944779,0.06100608,0.3978581,1.243244,0.5984076,0.8704171,0.1590706,-0.4659088,-0.1597592,0.9864121,0.03831668,0.3781378,0.9792485,0.6038675
0.0859963,301.6372,5,-340.6383,-687.3312,-370.1193,-669.2769,-360.7191,-683.9066,-358.452,-674.5078,,,False,0,0,0,FALSE,FALSE,FALSE,-0.8737726,0.1169607,0.4720611,0.113241,0.9929006,-0.03640084,0.1801575,1.500438,0.6936662,0,0,1,0,1,0,0,0,0,0.8515267,-0.04006039,-0.5227785,0.08417313,0.994589,0.06089012,0.3978313,1.243261,0.598699,0.8713046,0.1581984,-0.4645449,-0.1589807,0.9865585,0.03778186,0.3776541,0.9793251,0.6039538
0.1108522,301.5471,5,-340.7442,-687.2662,-370.1193,-669.2769,-360.6043,-683.8849,-358.3596,-674.5794,,,False,0,0,0,FALSE,FALSE,FALSE,-0.8742764,0.1148995,0.4716343,0.1122618,0.9931024,-0.0338379,0.1794327,1.500076,0.6936685,0,0,1,0,1,0,0,0,0,0.8534469,-0.03890478,-0.5197257,0.08228118,0.9947619,0.06065051,0.3977935,1.243341,0.599198,0.8725082,0.1575592,-0.4624985,-0.158421,0.9866682,0.03726506,0.3775262,0.9791599,0.6040906
0.1282083,301.3403,5,-340.8183,-687.2211,-370.1193,-669.2769,-360.5241,-683.8699,-358.2952,-674.6294,,,False,0,0,0,FALSE,FALSE,FALSE,-0.8745199,0.1139082,0.4714231,0.1116177,0.9932056,-0.0329265,0.1791626,1.49985,0.6938061,0,0,1,0,1,0,0,0,0,0.8541603,-0.03833971,-0.5185944,0.08136188,0.9948492,0.06045932,0.397688,1.243265,0.5994592,0.8735292,0.157481,-0.4605939,-0.1583128,0.9866912,0.03711364,0.377237,0.9791384,0.6044686
0.1392821,301.2636,5,-340.8657,-687.1923,-370.1193,-669.2769,-360.473,-683.8602,-358.2541,-674.6613,,,False,0,0,0,FALSE,FALSE,FALSE,-0.8749703,0.1117656,0.4711003,0.1092484,0.9934735,-0.0327893,0.1784615,1.4996,0.6938114,0,0,1,0,1,0,0,0,0,0.8554385,-0.03856857,-0.5164666,0.08140475,0.9948407,0.06054053,0.3975186,1.243225,0.5999348,0.8745651,0.1574528,-0.4586334,-0.1584335,0.9866902,0.03662352,0.3772789,0.9793305,0.6047817
0.1499167,301.1213,5,-340.9112,-687.1649,-370.1193,-669.2769,-360.4239,-683.851,-358.2146,-674.6919,,,False,0,0,0,FALSE,FALSE,FALSE,-0.8754516,0.111361,0.4703012,0.1086519,0.9935319,-0.03300272,0.1782375,1.499447,0.6938285,0,0,1,0,1,0,0,0,0,0.8561991,-0.03855954,-0.5152053,0.08085937,0.9949232,0.05991386,0.397491,1.243169,0.6001104,0.8753255,0.1582671,-0.456899,-0.1592493,0.9865579,0.03664858,0.3771592,0.9792562,0.605332
0.1600566,301.0368,5,-340.9546,-687.1387,-370.1193,-669.2769,-360.377,-683.8422,-358.1769,-674.7211,,,False,0,0,0,FALSE,FALSE,FALSE,-0.8759922,0.1115491,0.4692488,0.1080365,0.993548,-0.03450261,0.1779532,1.499428,0.6938025,0,0,1,0,1,0,0,0,0,0.8565516,-0.038526,-0.5146216,0.08093401,0.9948981,0.06022815,0.3973578,1.243083,0.6002623,0.8755582,0.1583918,-0.4564098,-0.1596439,0.9865142,0.03610404,0.377362,0.9792988,0.6053308
