group,part_num,direction_block,session,trial_num,ratio,choice,decision,correct_through,ineficient_around,risky_bump,correct_around
Nonpressure Group,105,1,Session 1,1,0.6,0,0,1,0,0,0
Nonpressure Group,105,1,Session 1,2,0.7,0,0,1,0,0,0
Nonpressure Group,105,1,Session 1,3,0.8,0,0,1,0,0,0
Nonpressure Group,105,1,Session 1,4,0.9,1,1,0,1,0,0
Nonpressure Group,105,1,Session 1,5,1,1,1,0,1,0,0
Nonpressure Group,105,1,Session 1,6,1.1,0,1,0,0,0,1
Nonpressure Group,105,1,Session 1,7,1.2,0,1,0,0,0,1
Nonpressure Group,105,1,Session 1,8,1.3,0,1,0,0,0,1
Nonpressure Group,105,1,Session 1,9,1.4,0,1,0,0,0,1
Nonpressure Group,105,2,Session 1,10,1.4,0,1,0,0,0,1
Nonpressure Group,105,2,Session 1,11,1.3,0,1,0,0,0,1
Nonpressure Group,105,2,Session 1,12,1.2,0,1,0,0,0,1
Nonpressure Group,105,2,Session 1,13,1.1,0,1,0,0,0,1
Nonpressure Group,105,2,Session 1,14,1,1,1,0,1,0,0
Nonpressure Group,105,2,Session 1,15,0.9,1,1,0,1,0,0
Nonpressure Group,105,2,Session 1,16,0.8,1,1,0,1,0,0
Nonpressure Group,105,2,Session 1,17,0.7,0,0,1,0,0,0
Nonpressure Group,105,2,Session 1,18,0.6,1,1,0,1,0,0
Nonpressure Group,105,3,Session 1,19,0.6,1,1,0,1,0,0
Nonpressure Group,105,3,Session 1,20,0.7,0,0,1,0,0,0
Nonpressure Group,105,3,Session 1,21,0.8,1,1,0,1,0,0
Nonpressure Group,105,3,Session 1,22,0.9,1,1,0,1,0,0
Nonpressure Group,105,3,Session 1,23,1,1,1,0,1,0,0
Nonpressure Group,105,3,Session 1,24,1.1,0,1,0,0,0,1
Nonpressure Group,105,3,Session 1,25,1.2,0,1,0,0,0,1
Nonpressure Group,105,3,Session 1,26,1.3,0,1,0,0,0,1
Nonpressure Group,105,3,Session 1,27,1.4,0,1,0,0,0,1
Nonpressure Group,105,4,Session 1,28,1.4,0,1,0,0,0,1
Nonpressure Group,105,4,Session 1,29,1.3,0,1,0,0,0,1
Nonpressure Group,105,4,Session 1,30,1.2,0,1,0,0,0,1
Nonpressure Group,105,4,Session 1,31,1.1,0,1,0,0,0,1
Nonpressure Group,105,4,Session 1,32,1,1,1,0,1,0,0
Nonpressure Group,105,4,Session 1,33,0.9,0,0,1,0,0,0
Nonpressure Group,105,4,Session 1,34,0.8,0,0,1,0,0,0
Nonpressure Group,105,4,Session 1,35,0.7,1,1,0,1,0,0
Nonpressure Group,105,4,Session 1,36,0.6,0,0,1,0,0,0
Nonpressure Group,105,5,Session 1,37,0.6,1,1,0,1,0,0
Nonpressure Group,105,5,Session 1,38,0.7,0,0,1,0,0,0
Nonpressure Group,105,5,Session 1,39,0.8,0,0,1,0,0,0
Nonpressure Group,105,5,Session 1,40,0.9,1,1,0,1,0,0
Nonpressure Group,105,5,Session 1,41,1,1,1,0,1,0,0
Nonpressure Group,105,5,Session 1,42,1.1,0,1,0,0,0,1
Nonpressure Group,105,5,Session 1,43,1.2,0,1,0,0,0,1
Nonpressure Group,105,5,Session 1,44,1.3,0,1,0,0,0,1
Nonpressure Group,105,5,Session 1,45,1.4,0,1,0,0,0,1
Nonpressure Group,105,6,Session 1,46,1.4,0,1,0,0,0,1
Nonpressure Group,105,6,Session 1,47,1.3,0,1,0,0,0,1
Nonpressure Group,105,6,Session 1,48,1.2,0,1,0,0,0,1
Nonpressure Group,105,6,Session 1,49,1.1,0,1,0,0,0,1
Nonpressure Group,105,6,Session 1,50,1,1,1,0,1,0,0
Nonpressure Group,105,6,Session 1,51,0.9,0,0,1,0,0,0
Nonpressure Group,105,6,Session 1,52,0.8,0,0,1,0,0,0
Nonpressure Group,105,6,Session 1,53,0.7,0,0,1,0,0,0
Nonpressure Group,105,6,Session 1,54,0.6,1,1,0,1,0,0
Nonpressure Group,105,7,Session 1,55,0.6,1,1,0,1,0,0
Nonpressure Group,105,7,Session 1,56,0.7,0,0,1,0,0,0
Nonpressure Group,105,7,Session 1,57,0.8,0,0,1,0,0,0
Nonpressure Group,105,7,Session 1,58,0.9,0,0,1,0,0,0
Nonpressure Group,105,7,Session 1,59,1,1,1,0,1,0,0
Nonpressure Group,105,7,Session 1,60,1.1,0,1,0,0,0,1
