group,part_num,experience,block,trial_num,ratio,choice,decision,starting_ratio,ending_ratio,direction,correlation,variance
Nonpressure Group,105,untrained,1,37,0.6,0,0,0.6,1.4,ascending,0.8215838362577492,0.25
Nonpressure Group,105,untrained,1,38,0.7,0,0,0.6,1.4,ascending,0.8215838362577492,0.25
Nonpressure Group,105,untrained,1,39,0.8,0,0,0.6,1.4,ascending,0.8215838362577492,0.25
Nonpressure Group,105,untrained,1,40,0.9,1,1,0.6,1.4,ascending,0.8215838362577492,0.25
Nonpressure Group,105,untrained,1,41,1,1,1,0.6,1.4,ascending,0.8215838362577492,0.25
Nonpressure Group,105,untrained,1,42,1.1,0,1,0.6,1.4,ascending,0.8215838362577492,0.25
Nonpressure Group,105,untrained,1,43,1.2,0,1,0.6,1.4,ascending,0.8215838362577492,0.25
Nonpressure Group,105,untrained,1,44,1.3,0,1,0.6,1.4,ascending,0.8215838362577492,0.25
Nonpressure Group,105,untrained,1,45,1.4,0,1,0.6,1.4,ascending,0.8215838362577492,0.25
Nonpressure Group,105,untrained,1,46,1.4,0,1,1.4,0.6,descending,0.8660254037844387,0.2777777777777778
Nonpressure Group,105,untrained,1,47,1.3,0,1,1.4,0.6,descending,0.8660254037844387,0.2777777777777778
Nonpressure Group,105,untrained,1,48,1.2,0,1,1.4,0.6,descending,0.8660254037844387,0.2777777777777778
Nonpressure Group,105,untrained,1,49,1.1,0,1,1.4,0.6,descending,0.8660254037844387,0.2777777777777778
Nonpressure Group,105,untrained,1,50,1,1,1,1.4,0.6,descending,0.8660254037844387,0.2777777777777778
Nonpressure Group,105,untrained,1,51,0.9,0,0,1.4,0.6,descending,0.8660254037844387,0.2777777777777778
Nonpressure Group,105,untrained,1,52,0.8,0,0,1.4,0.6,descending,0.8660254037844387,0.2777777777777778
Nonpressure Group,105,untrained,1,53,0.7,0,0,1.4,0.6,descending,0.8660254037844387,0.2777777777777778
Nonpressure Group,105,untrained,1,54,0.6,0,0,1.4,0.6,descending,0.8660254037844387,0.2777777777777778
Nonpressure Group,105,untrained,1,55,0.6,0,0,0.6,1.4,ascending,0.8660254037844387,0.2777777777777778
Nonpressure Group,105,untrained,1,56,0.7,0,0,0.6,1.4,ascending,0.8660254037844387,0.2777777777777778
Nonpressure Group,105,untrained,1,57,0.8,0,0,0.6,1.4,ascending,0.8660254037844387,0.2777777777777778
Nonpressure Group,105,untrained,1,58,0.9,0,0,0.6,1.4,ascending,0.8660254037844387,0.2777777777777778
Nonpressure Group,105,untrained,1,59,1,1,1,0.6,1.4,ascending,0.8660254037844387,0.2777777777777778
Nonpressure Group,105,untrained,1,60,1.1,0,1,0.6,1.4,ascending,0.8660254037844387,0.2777777777777778
