timestep, heading, speed, pos_X, pos_Z,goal_X,goal_z,npc1_x,npc1_z,npc2_x,npc2_z,pacesetter_x,pacesetter_z,thruAperture, crtl_pad_X, ctrl_pad_Y, ctrl_Trigger, ctrl_Pad_Click, ctrl_Pad_Touch, ctrl_Grip_Click,head_6DOF_fwd_X,head_6DOF_fwd_Y,head_6DOF_fwd_Z,head_6DOF_up_X,head_6DOF_up_Y,head_6DOF_up_Z,head_6DOF_pos_X,head_6DOF_pos_Y,head_6DOF_pos_Z,ctrl_6DOF_fwd_X,ctrl_6DOF_fwd_Y,ctrl_6DOF_fwd_Z,ctrl_6DOF_up_X,ctrl_6DOF_up_Y,ctrl_6DOF_up_Z,ctrl_6DOF_pos_X,ctrl_6DOF_pos_Y,ctrl_6DOF_pos_Z,chest_6DOF_fwd_X,chest_6DOF_fwd_Y,chest_6DOF_fwd_Z,chest_6DOF_up_X,chest_6DOF_up_Y,chest_6DOF_up_Z,chest_6DOF_pos_X,chest_6DOF_pos_Y,chest_6DOF_pos_Zchair_6DOF_fwd_X,chair_6DOF_fwd_Y,chair_6DOF_fwd_Z,chair_6DOF_up_X,chair_6DOF_up_Y,chair_6DOF_up_Z,chair_6DOF_pos_X,chair_6DOF_pos_Y,chair_6DOF_pos_Z
0,169.2345,5,-233.3915,-41.91758,-245.281,-74.83627,-231.4842,-62.40558,-241.4445,-63.29594,,,False,0,0,0,FALSE,FALSE,FALSE,-0.3651693,0.002184904,-0.9309386,-0.0266743,0.9995621,0.01280921,-0.07368524,1.560476,0.2364528,0,0,1,0,1,0,0,0,0,0.2815602,-0.1906471,0.9404135,-0.03722397,0.9771554,0.2092405,-0.003801882,1.312733,0.4859369,0.3360965,0.1460004,0.9304424,-0.01557456,0.9886381,-0.1495063,-0.02798694,0.9954863,0.4265841
0.0205648,196.6677,5,-233.421,-42.01608,-245.281,-74.83627,-231.5355,-62.3143,-241.4102,-63.19701,,,False,0,0,0,FALSE,FALSE,FALSE,-0.3625823,0.001046316,-0.9319512,-0.02905079,0.9995007,0.01242457,-0.07447089,1.559875,0.2368791,0,0,1,0,1,0,0,0,0,0.279821,-0.1892918,0.941206,-0.03941538,0.977278,0.2082646,-0.004797637,1.312432,0.486478,0.3337084,0.1467321,0.9311866,-0.01222588,0.9884021,-0.1513664,-0.02903503,0.9946625,0.4272874
0.0323039,196.5572,5,-233.4378,-42.07234,-245.281,-74.83627,-231.5648,-62.2622,-241.3906,-63.14055,,,False,0,0,0,FALSE,FALSE,FALSE,-0.3603324,-0.0005425718,-0.9328239,-0.03202724,0.9994174,0.01179022,-0.0750629,1.559256,0.237264,0,0,1,0,1,0,0,0,0,0.2779403,-0.1883048,0.941961,-0.04154031,0.9773247,0.2076313,-0.005351126,1.312159,0.4873258,0.3312946,0.14672,0.93205,-0.008211864,0.9882466,-0.1526474,-0.02953607,0.9938721,0.4282516
0.0433803,196.4395,5,-233.4534,-42.12546,-245.281,-74.83627,-231.5924,-62.21303,-241.3721,-63.08726,,,False,0,0,0,FALSE,FALSE,FALSE,-0.3578928,-0.002272795,-0.93376,-0.03571645,0.9992986,0.01125713,-0.07549676,1.558663,0.2378403,0,0,1,0,1,0,0,0,0,0.2760361,-0.1872243,0.942736,-0.04356943,0.9773988,0.2068655,-0.006362736,1.311785,0.487774,0.329617,0.1452667,0.9328721,-0.003428547,0.9882694,-0.1526817,-0.0299049,0.9931187,0.4291356
0.0549018,196.3202,5,-233.4696,-42.18075,-245.281,-74.83627,-231.6211,-62.16189,-241.3529,-63.03184,,,False,0,0,0,FALSE,FALSE,FALSE,-0.3557956,-0.003695104,-0.9345565,-0.03866478,0.9991942,0.01076942,-0.07611407,1.558218,0.2381743,0,0,1,0,1,0,0,0,0,0.2740553,-0.1859202,0.9435716,-0.04585344,0.9774935,0.205922,-0.00680393,1.311887,0.4885741,0.3287371,0.143788,0.9334115,0.001102248,0.988283,-0.1526289,-0.0307768,0.9922956,0.429324
0.0660349,196.1956,5,-233.4852,-42.2342,-245.281,-74.83627,-231.6489,-62.11249,-241.3343,-62.97829,,,False,0,0,0,FALSE,FALSE,FALSE,-0.3540289,-0.005837949,-0.9352163,-0.04259975,0.9990433,0.009889878,-0.07660906,1.557905,0.2386167,0,0,1,0,1,0,0,0,0,0.2717037,-0.1846745,0.9444959,-0.04784738,0.9776099,0.2049134,-0.007090092,1.31196,0.4894236,0.3281774,0.1423281,0.933832,0.00528652,0.9882914,-0.1524863,-0.03103423,0.9919792,0.4298231
0.0780398,196.049,5,-233.5018,-42.29189,-245.281,-74.83627,-231.6788,-62.0592,-241.3143,-62.92054,,,False,0,0,0,FALSE,FALSE,FALSE,-0.3524832,-0.008567771,-0.9357791,-0.04674615,0.998871,0.00846261,-0.07715897,1.557707,0.2389313,0,0,1,0,1,0,0,0,0,0.2703904,-0.1830621,0.9451864,-0.05006928,0.9777536,0.203693,-0.007846951,1.311914,0.4899291,0.3272054,0.1419375,0.9342325,0.008375214,0.9881803,-0.1530671,-0.0311358,0.9918842,0.4305335
0.102669,195.9643,5,-233.5356,-42.41029,-245.281,-74.83627,-231.7403,-61.94989,-241.2733,-62.80206,,,False,0,0,0,FALSE,FALSE,FALSE,-0.3505498,-0.0143186,-0.9364346,-0.05522425,0.9984593,0.005405939,-0.07791723,1.557346,0.239596,0,0,1,0,1,0,0,0,0,0.2674878,-0.180525,0.9464993,-0.05417683,0.9779212,0.2018289,-0.008737743,1.311918,0.4909723,0.3272243,0.1441221,0.9338914,0.01037238,0.9876932,-0.1560594,-0.03164428,0.9926167,0.430701
0.1202853,195.7807,5,-233.5596,-42.49505,-245.281,-74.83627,-231.7842,-61.8717,-241.2439,-62.71731,,,False,0,0,0,FALSE,FALSE,FALSE,-0.349731,-0.01902603,-0.936657,-0.062775,0.9980227,0.003166529,-0.07853051,1.557222,0.2405312,0,0,1,0,1,0,0,0,0,0.2644263,-0.1821734,0.9470436,-0.05573622,0.9774688,0.2035882,-0.00895983,1.311833,0.4920232,0.3264236,0.1481328,0.9335439,0.009801093,0.98706,-0.1600516,-0.03158271,0.9933378,0.4310454
0.1314221,195.6004,5,-233.5746,-42.54868,-245.281,-74.83627,-231.812,-61.82227,-241.2253,-62.66374,,,False,0,0,0,FALSE,FALSE,FALSE,-0.3493329,-0.02074286,-0.936769,-0.06644058,0.9977868,0.002682551,-0.07883671,1.557269,0.2409151,0,0,1,0,1,0,0,0,0,0.2623734,-0.1844683,0.9471704,-0.05579067,0.977016,0.2057354,-0.008990705,1.311864,0.4924139,0.3261365,0.1474831,0.9337472,0.009441277,0.9871975,-0.159223,-0.03144211,0.993605,0.4310469
